country_name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bhutan,0.0,28.95,29.87,30.77,31.59,32.41,33.18,34.04,34.88,35.73,36.48,37.36,38.18,39.04,39.86,40.75,41.61,42.53,43.7,44.81,47.94,52.25,52.41,53.46,59.4,54.93,56.22,63.93,51.34,51.8,61.95,59.81,61.11,63.2,64.63,66.6,66.1,64.8,62.98,72.98,63.04,64.86,64.32,68.66,78.81,107.32,113.88,114.5,89.54,87.46,94.13,113.93,104.1,96.18,99.01,104.43,108.9,0.0,0.0
Botswana,0.0,93.43,59.21,62.94,68.74,66.66,71.67,89.14,72.9,87.06,65.05,116.9,101.46,81.96,121.58,106.08,135.13,118.18,103.29,88.99,104.28,109.92,93.73,88.43,82.35,90.03,91.47,89.84,129.38,124.26,118.3,88.81,71.49,84.65,93.03,94.43,113.97,94.26,79.28,85.49,90.81,94.7,98.18,99.12,95.31,101.59,103.1,97.21,107.19,109.05,119.41,139.64,111.41,102.31,121.82,124.19,126.44,0.0,0.0
Central African Republic,0.0,51.16,51.68,53.26,51.89,55.55,55.05,59.41,62.23,64.79,64.47,63.63,67.41,68.95,74.78,73.93,75.89,75.32,72.64,76.64,76.11,76.49,79.21,75.78,73.49,69.52,77.73,71.05,76.7,76.76,76.45,75.83,76.5,76.77,81.84,86.29,94.84,100.22,101.52,97.17,99.86,102.0,100.03,94.63,98.42,100.07,101.5,106.05,107.75,112.64,111.01,116.83,118.51,120.7,108.5,113.5,116.33,0.0,0.0
Canada,0.0,24.9,37.98,43.75,38.5,42.92,50.72,40.36,45.63,48.23,42.61,52.4,46.7,49.23,43.25,51.63,56.85,58.3,62.07,56.64,59.47,68.12,72.93,67.42,64.82,71.55,81.09,77.54,58.77,71.04,82.97,81.54,76.46,83.38,85.8,87.61,92.53,88.07,94.18,101.91,96.06,79.54,70.44,90.66,97.78,102.52,99.7,97.54,114.49,111.07,108.06,111.26,118.77,147.04,129.62,135.92,141.12,0.0,0.0
Central Europe and the Baltics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.37591367927998,105.51599458493553,92.70687153560182,101.33506727716305,102.00743474522714,102.99732212792148,103.01130092590385,97.77405677994201,90.95268040184422,101.96655285560067,93.61431271992552,88.5469962092033,113.10686760518043,96.76452445178938,91.56725285541874,83.67685476447356,103.35704653959156,100.41107259621968,93.61777222364721,103.02318178997905,93.0903933521112,106.52137324403479,115.81908308152632,0.0,0.0,0.0,0.0
Switzerland,0.0,112.29,122.08,113.28,119.06,91.96,110.05,133.44,113.21,121.02,109.84,116.51,96.33,117.03,98.68,118.25,105.7,96.96,109.68,128.92,107.34,107.73,147.5,112.47,128.93,115.86,120.43,98.08,134.39,124.44,118.55,103.06,128.02,112.52,103.48,103.67,124.51,104.48,123.83,97.9,117.97,93.73,101.89,91.05,108.61,97.22,94.17,105.25,100.06,107.44,92.84,115.67,99.43,90.29,107.87,94.13,91.82,0.0,0.0
Channel Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile,0.0,29.41,30.5,29.94,30.85,28.24,32.42,32.64,33.78,28.8,30.64,34.34,34.68,30.31,31.94,32.12,32.25,37.96,37.01,41.24,40.59,42.91,43.49,40.49,44.81,44.93,46.71,49.19,52.82,57.2,60.09,63.43,66.82,69.49,74.44,78.44,81.43,79.12,80.91,79.79,81.96,88.89,90.52,94.2,95.67,100.71,103.63,96.89,99.22,101.51,107.4,111.5,106.94,111.09,110.32,112.22,116.01,0.0,0.0
China,0.0,18.02,18.92,19.68,21.08,22.81,24.59,24.86,24.68,24.82,26.61,27.52,26.66,30.05,30.21,30.83,30.47,31.07,34.41,35.37,35.0,36.98,40.76,44.07,47.97,46.14,47.06,49.54,49.81,50.91,55.08,56.1,58.01,61.78,63.39,67.96,73.5,75.88,78.21,80.76,84.78,86.89,90.76,90.53,97.34,100.11,102.55,108.03,114.72,116.76,120.49,126.74,131.29,134.06,136.31,141.21,144.2,0.0,0.0
Cote d'Ivoire,0.0,17.98,18.73,20.86,23.36,22.24,25.11,23.11,27.28,27.33,29.25,30.57,30.55,33.26,34.42,39.86,39.98,40.36,40.89,45.31,47.09,51.06,47.77,47.57,50.66,55.34,56.96,59.37,62.17,63.5,68.09,66.58,69.36,67.64,69.78,77.46,81.06,85.14,89.79,91.57,98.89,93.44,94.65,94.37,95.82,99.84,104.34,99.23,105.59,98.87,105.98,109.63,119.49,123.06,128.73,129.53,127.63,0.0,0.0
